year	round	asset_id	reference_id	latitude	longitude
2005	13	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2005	14	layout-istanbul-1	layout-istanbul-1	40.951667	29.405
2005	15	layout-monza-7	layout-monza-7	45.620556	9.289444
2005	16	layout-spa-francorchamps-3	layout-spa-francorchamps-3	50.437222	5.971389
2005	17	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2005	18	layout-suzuka-2	layout-suzuka-2	34.843056	136.540556
2005	19	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2006	1	layout-bahrain-1	layout-bahrain-1	26.0325	50.510556
2006	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2006	3	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2006	4	layout-imola-2	layout-imola-2	44.341111	11.713333
2006	5	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2006	6	layout-catalunya-3	layout-catalunya-3	41.57	2.261111
2006	7	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2006	8	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2006	9	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2006	10	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2006	11	layout-magny-cours-3	layout-magny-cours-3	46.863242	3.164228
2006	12	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
2006	13	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2006	14	layout-istanbul-1	layout-istanbul-1	40.951667	29.405
2006	15	layout-monza-7	layout-monza-7	45.620556	9.289444
2006	16	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2006	17	layout-suzuka-2	layout-suzuka-2	34.843056	136.540556
2006	18	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2007	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2007	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2007	3	layout-bahrain-1	layout-bahrain-1	26.0325	50.510556
2007	4	layout-catalunya-4	layout-catalunya-4	41.57	2.261111
2007	5	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2007	6	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2007	7	layout-indianapolis-2	layout-indianapolis-2	39.798333	-86.232778
2007	8	layout-magny-cours-3	layout-magny-cours-3	46.863242	3.164228
2007	9	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2007	10	layout-nurburgring-4	layout-nurburgring-4	50.335556	6.9475
2007	11	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2007	12	layout-istanbul-1	layout-istanbul-1	40.951667	29.405
2007	13	layout-monza-7	layout-monza-7	45.620556	9.289444
2007	14	layout-spa-francorchamps-4	layout-spa-francorchamps-4	50.437222	5.971389
2007	15	layout-fuji-2	layout-fuji-2	35.371667	138.926667
2007	16	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2007	17	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2008	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2008	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2008	3	layout-bahrain-1	layout-bahrain-1	26.0325	50.510556
2008	4	layout-catalunya-4	layout-catalunya-4	41.57	2.261111
2008	5	layout-istanbul-1	layout-istanbul-1	40.951667	29.405
2008	6	layout-monaco-6	layout-monaco-6	43.734722	7.420556
2008	7	layout-montreal-6	layout-montreal-6	45.500578	-73.522461
2008	8	layout-magny-cours-3	layout-magny-cours-3	46.863242	3.164228
2008	9	layout-silverstone-7	layout-silverstone-7	52.078611	-1.016944
2008	10	layout-hockenheimring-4	layout-hockenheimring-4	49.327778	8.565833
2008	11	layout-hungaroring-3	layout-hungaroring-3	47.582222	19.251111
2008	12	layout-valencia-1	layout-valencia-1	39.458778	-0.325556
2008	13	layout-spa-francorchamps-4	layout-spa-francorchamps-4	50.437222	5.971389
2008	14	layout-monza-7	layout-monza-7	45.620556	9.289444
2008	15	layout-marina-bay-1	layout-marina-bay-1	1.291531	103.86385
2008	16	layout-fuji-2	layout-fuji-2	35.371667	138.926667
2008	17	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2008	18	layout-interlagos-2	layout-interlagos-2	-23.701111	-46.697222
2009	1	layout-melbourne-1	layout-melbourne-1	-37.849722	144.968333
2009	2	layout-sepang-1	layout-sepang-1	2.760556	101.7375
2009	3	layout-shanghai-1	layout-shanghai-1	31.338889	121.219722
2009	4	layout-bahrain-1	layout-bahrain-1	26.0325	50.510556
